titles,authors,years,ncitedby,linkfiles
Gender Differences in Perceptions of Genetically Modified Foods,NA,NA,14,https://cs.union.edu/Archives/SeniorProjects/2016/CS.2016/files/santanar/santanar-499-report.pdf
SENTIMENT ANALYSIS OF MOVIES USING LINGPIPE CLASSIFIER,NA,NA,1,https://www.academia.edu/download/67675748/Twitter_Sentiment_Analysis.pdf
Big data system for the prediction of user location in Twitter,J Alonso Lorenzo,2017,3,https://pdfs.semanticscholar.org/0fb4/7dcfaf7fcc0b67f9dacefaf0b3e5f75db8d2.pdf
Power Outage Prediction via Twitter,R Santana,2016,4,https://www.academia.edu/download/81314719/pdf.pdf
"Hashtags e produção de sentidos: códigos, conteúdos e tendências no Twitter",N Cortez,2021,2,https://www.researchgate.net/profile/Natalia-Cortez/publication/358042761_Sociedade-da-desinformacao-e-infodemia-Selo-PPGCOM-UFMG-1/links/61ed79ed5779d35951cbd30e/Sociedade-da-desinformacao-e-infodemia-Selo-PPGCOM-UFMG-1.pdf#page=113
マッシュアップ API を用いた異なるライフログサービスの連携,鎌田早織， 坂本寛幸， 井垣宏， 中村匡秀,2010,7,http://ws.cs.kobe-u.ac.jp/achieve/data/pdf/1056.pdf
Desarrollo de una herramienta para la extracción y análisis de datos procedentes de redes sociales. Caso práctico: la API de Twitter,DMC Alanís,2019,5,https://fcd.ugr.es/sites/centros/fcd/public/2021-04/TFG_Carrasco_Alanis_Miriam.pdf
Pembuatan Sistem Prediksi Kepribadian “The Big Five Traits” dari Media Sosial Twitter,"N Febrianto, I Prasetia, A Wijaya",2015,3,http://ir.cs.ui.ac.id/inacl2016/paper/INACL_2016_paper_3-1-7.pdf
Analisis Sentimen Twitter Untuk Mengetahui Dampak Dari Pandemi Covid-19 Terhadap Masyarakat Jakarta,W Setianto,2020,4,https://www.academia.edu/download/63566333/UTS_Big_Data_Wahyu_Setianto20200608-75686-yaozxt.pdf
Chile y el Ecosistema de las Elecciones Polıticas en Twitter,"M Guevara, D Pino, M Mendoza…",2013,2,https://www.researchgate.net/profile/Miguel-Guevara-4/publication/263653644_Chile_y_el_Ecosistema_de_las_Elecciones_Politicas_en_Twitter/links/0deec53b6d7571836d000000/Chile-y-el-Ecosistema-de-las-Elecciones-Politicas-en-Twitter.pdf
Identifikasi Opinion Leader pada Twitter dengan Teknik Pembelajaran Mesin,"AA Septiandri, A Purwarianti",2013,NA,https://www.academia.edu/download/33173231/knif.pdf
Komparasi algoritma untuk analisa sentimen review produk pada twitter,EI Setiawan,NA,1,http://lppm.istts.ac.id/files/publication/1/iGm8FAgdINIVKzVcjF-XgzHrb9LZnSE_.pdf
Analisis Sentimen Berdasarkan Opini Pengguna pada Media Twitter Terhadap BPJS Menggunakan Metode Lexicon Based dan Naïve Bayes Classifier: Array,"AR Kardian, D Gustiana",2021,1,https://ejournal.jak-stik.ac.id/files/journals/1/articles/Vol20No1Mar2021/401/submission/proof/401-1-1627-1-10-20210522.pdf
Analisis Klasifikasi Sentimen Tentang Pro Dan Kontra Masyarakat Indonesia Terhadap Vaksin Covid-19 Pada Media Sosial Twitter,EN Yudhatama,NA,1,https://www.researchgate.net/profile/Erdy-Nufa/publication/351867700_ANALISIS_KLASIFIKASI_SENTIMEN_TENTANG_PRO_DAN_KONTRA_MASYARAKAT_INDONESIA_TERHADAP_VAKSIN_COVID-19_PADA_MEDIA_SOSIAL_TWITTER/links/60addba4a6fdcc647edb7235/ANALISIS-KLASIFIKASI-SENTIMEN-TENTANG-PRO-DAN-KONTRA-MASYARAKAT-INDONESIA-TERHADAP-VAKSIN-COVID-19-PADA-MEDIA-SOSIAL-TWITTER.pdf
Big Data Analytics: Analyse der prädiktiven Fähigkeit von Twitter-Sentiments auf die Entwicklung des Börsenkurses von Technologieunternehmen,"FF Baumann, NB Brunner…",2020,4,https://library.oapen.org/bitstream/handle/20.500.12657/23145/1/1007009.pdf#page=233
Analisis Sentimen Pada Twitter Menggunakan Metode Naïve Bayes (Studi Kasus Pemilihan Gubernur Dki Jakarta 2017),HR MUHAMMAD,2017,5,https://pdfs.semanticscholar.org/3677/7bad0d5d6dda39e2058b054fb302c557e2ad.pdf
Analisis Sentimen Terhadap Tokoh Publik Menggunakan Support Vector Machine,"NK Fitriyani, AD Hartanto",2020,5,https://is.muni.cz/th/huz29/BP_JosefBuryan.pdf
Deteksi Kejadian Lalu Lintas pada Teks Twitter dengan pendekatan Klasifikasi Multilabel berbasis Deep Learning,"L Atikah, D Purwitasari, N Suciati",2022,1,https://pdfs.semanticscholar.org/0c40/8a087d566027e8b7487ba13935dab7d87550.pdf
Construçao de amostras de dados do twitter,"T Magalhaes, S Nunes",2013,1,https://repositorio-aberto.up.pt/bitstream/10216/70216/2/64861.pdf
Perbandingan Metode K-Means Dan Fuzzy C-Means Untuk Pengelompokan Tweet Yang Ditujukan Kepada PT. Kereta Api Indonesia (@ KAI121) Dengan …,FR Rahmaniar,2019,5,https://repository.its.ac.id/63740/1/06211540000111-Undergraduate_Theses.pdf
Perbandingan klasifikasi rocchio dan multinomial naïve bayes pada analisis sentimen data twitter bahasa indonesia,JCW Pantouw,2017,1,https://www.academia.edu/download/93173434/pdf.pdf
ELIMINASI DATA NON-TOPIC MENGGUNAKAN PEMODELAN TOPIK UNTUK PERINGKASAN OTOMATIS DATA TWEETDENGAN KONTEKS COVID-19,"P Damayanti, D Purwitasari, N Suciati",2021,8,https://www.researchgate.net/profile/Birol-Kuyumcu/publication/334280842_Twitter_Uzerindeki_Islamofobik_Twitlerin_Duygu_Analizi_ile_Tespiti/links/61683dcb8ad119749b1a9a01/Twitter-Uezerindeki-Islamofobik-Twitlerin-Duygu-Analizi-ile-Tespiti.pdf
Detection of Islamophobic Tweets on Twitter Using Sentiment Analysis,"B Ayan, B Kuyumcu, B Ciylan",2019,1,https://elib.unikom.ac.id/files/disk1/779/jbptunikompp-gdl-muhammadha-38919-8-unikom_m-a.pdf
Construcción de infraestructura Big Data para el procesamiento y visualización de datos de Twitter,M Gálvez Lao,2019,1,"http://repositorio.ual.es/bitstream/handle/10835/8009/TFG_GALVEZ%20LAO,%20MARIA%20FRANCISCA.pdf?sequence=1"
Analisis Sentimen Opini Publik Mengenai Covid-19 Melalui Platform Twitter Dengan Metode Naive Bayes Classifier,"E Sutanty, MB Siregar",2020,1,https://www.revistaespacios.com/a21v42n12/a21v42n12p08.pdf
ΕΜΠΛΟΥΤΙΣΜΟΣ ΤΗΣ ΑΝΑΛΥΣΗΣ ΚΟΙΝΩΝΙΚΩΝ ΔΙΚΤΥΩΝ ΜΕ ΠΕΡΙΕΧΟΜΕΝΟ ΑΠΟ ΕΙΚΟΝΕΣ ΤΟΥ TWITTER,Γ Θεοφίλου,2020,4,https://www.researchgate.net/profile/Giulia-Tucci-2/publication/363740377_Visualizing_an_image_network_without_rendering_files_A_method_to_combine_user_hashtags_with_computer_vision_labels/links/632c4b1670cc936cd329abdb/Visualizing-an-image-network-without-rendering-files-A-method-to-combine-user-hashtags-with-computer-vision-labels.pdf
Visualizing an image network without rendering files: A method to combine user hashtags with computer vision labels Visualización de una red de imágenes sin …,G Tucci,NA,1,https://www.researchgate.net/profile/Ecir-Ugur-Kucuksille/publication/316112892_Advertising_recommendation_system_based_on_dynamic_data_analysis_on_Turkish_speaking_Twitter_users/links/58f103cca6fdcc11e569e52f/Advertising-recommendation-system-based-on-dynamic-data-analysis-on-Turkish-speaking-Twitter-users.pdf
ADVERTISING RECOMMENDATION SYSTEM BASED ON DYNAMIC DATA ANALYSIS ON TURKISH SPEAKING TWITTER USERS.,"O Sevli, EU Küçüksille",2017,3,https://pdfs.semanticscholar.org/d15c/6f4f91427f943933e5e363dc04b45849b700.pdf
Metode Naïve Bayes Classifier Dalam Analisis Sentimen Pada Komentar Tweet,"R Noviana, D Wahyuni",2020,NA,https://dadosabertos.info/enhanced_publications/idt/papers/51.pdf
"Ekstraksi Informasi Menggunakan Kombinasi Metode NeuroNER, Neural Relation Extraction, dan FASM pada Deteksi Kejadian dari Data Stream Twitter",BKKCDAN VISI,NA,1,https://repository.its.ac.id/57797/1/5116201057-Masters_Thesis.pdf
Klasifikasi Fasilitas Umum di Jawa Tengah pada Twitter dengan Algoritma Agglomerative Hierarchical Clustering dan Naive Bayes Classifier,"NUL HAFIDHOH, AN SISSANDHY",NA,1,https://core.ac.uk/download/pdf/387594448.pdf
A Comparative Study of Bitcoin's Price Fluctuations and Twitter Sentiments,S Bruce,2022,NA,https://www.ijebmr.com/uploads/pdf/archivepdf/2023/IJEBMR_1103.pdf
MODEL ANALISIS SENTIMENT DI PILKADA JAWA BARAT 2018,AR Munawar,NA,NA,https://digilib.esaunggul.ac.id/public/UEU-Journal-20016-11_1246.pdf
Copyright@ FTSM,"AMAPP DI, PPUK MALAYSIA",NA,NA,https://www.ftsm.ukm.my/v5/file/research/technicalreport/PTA-FTSM-2021-107.pdf
… COVID-19 Vaccination in Turkey: Analysis of Twitter Posts COVID-19 Aşılaması İle İlgili Türkiye'de Yanlış Enformasyon: Twitter Paylaşımları Üzerine Analiz,"BA ÖZORAN, İ SEYİDOV",NA,NA,https://www.researchgate.net/profile/Ilgar-Seyidov/publication/365222447_False_Information_about_Covid-19_Vaccination_in_Turkey_Analysis_of_Twitter_Posts/links/63917cce484e65005bf1b517/False-Information-about-Covid-19-Vaccination-in-Turkey-Analysis-of-Twitter-Posts.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D
Rudarenje teksta sa društvenih mreža API pristupom,"N Mirkov, M Peranović",2015,NA,https://infoteh.etf.ues.rs.ba/zbornik/2015/radovi/RSS-3/RSS-3-5.pdf
Rancang Bangun Aplikasi Sosial Media Crawler Menggunakan Nodejs Menerapkan Konsep Non-Blocking I/O,"CY Andika, S Rudiarto",2017,NA,http://digilib.mercubuana.ac.id/manager/t!@file_artikel_abstrak/Isi_Artikel_117363866109.pdf
"Analisis Sentimen Pembelajaran Daring menggunakan Metode Naïve Bayes, KNN, dan Decision Tree",J Jurnal,2022,1,https://pdfs.semanticscholar.org/177f/4bbf7cd48c9afb2af92cfe8c589bbe81ce6e.pdf
TDC (Twitter Data Collection): Creación de una gran base de datos de Tweets,B Gil Pérez,2014,1,http://repository.unmuhjember.ac.id/2730/8/Jurnal.pdf
Analisis Sentimen Pada Twitter Terhadap Kinerja Komisi Pemberantasan Korupsi (KPK) di Indonesia Dengan Metode Naive Bayes,"RT HR, AE Wardoyo…",2018,15,http://eprints.machung.ac.id/2113/1/9.1._Lucky_SIMANTEC_Implementasi_Text_Mining.pdf
9.1. _Lucky_SIMANTEC_Implementasi_Text_Mining,"IOD Putra, KR Prilianti, PLT Irawan",2020,1,https://www.su-varna.org/izdanij/2017/ikonomika-017-2/254-259.pdf
Извличане на топ тенденции от дискусиите на български език в Twitter,Б Банков,NA,NA,https://repository.upnvj.ac.id/11217/2/AWAL.pdf
SENTIMEN ANALISIS TERHADAP LAYANAN FIRST MEDIA MENGGUNAKAN METODE NAÏVE BAYES,RI Pratiwi,2021,NA,https://repository.its.ac.id/42409/7/2215206714-Master-Theses.pdf
Sentiment Analysis Menggunakan Rule Based Method Pada Data Pengaduan Publik Berbasis Lexical Resources,M Lailiyah,2017,NA,https://www.academia.edu/download/68135154/pdf.pdf
Analisis Tingkat Cyberbullying Di Indonesia Menggunakan Teknologi Big Data,NI Purnayasa,2020,1,https://www.researchgate.net/profile/Ngurah-Indra-Purnayasa/publication/351141847_ANALISIS_TINGKAT_CYBERBULLYING_DI_INDONESIA_MENGGUNAKAN_TEKNOLOGI_BIG_DATA/links/608a60b092851c490fa3d11f/ANALISIS-TINGKAT-CYBERBULLYING-DI-INDONESIA-MENGGUNAKAN-TEKNOLOGI-BIG-DATA.pdf
Pengembangan Sistem Komunikasi Publik pada Twitter menggunakan Metode Klasifikasi Naïve Bayes,A Aditama,NA,2,https://repository.unugha.ac.id/685/1/5.pdf
MENINGKATKAN KESADARAN PENGENDARA KENDARAAN SAAT MELINTASI PERLINTASAN KERETA API MELALUI IKLAN LAYANAN MASYARAKAT,F ZAHRA,NA,2,http://eprints.dinus.ac.id/16619/1/jurnal_15610.pdf
ANALISIS SENTIMEN TENTANG UU CIPTA KERJA MENGGUNAKAN ALGORITMA NAÏVE BAYES,IGND Adnyana,2021,3,https://repository.upnvj.ac.id/11208/13/AWAL.pdf
キーワード検索で収集される Twitter データの特徴と Twitter 上の情報拡散過程,塩田茂雄， 南川雅人， 中島圭佑,2018,NA,http://www.qos.tu.chiba-u.jp/research_result/paper/IN2018-64.pdf
APLIKASI ANALISIS SENTIMEN TWITTER MENGGUNAKAN METODE KLASIFIKASI NAÏVE BAYES MENGENAI TAYANGAN TELEVISI DI INDONESIA,FA Rahman,NA,NA,https://www.academia.edu/download/58555863/APLIKASI_ANALISIS_SENTIMEN_TWITTER_MENGGUNAKAN_METODE_KLASIFIKASI_NAIVE_BAYES_MENGENAI_TAYANGAN_TELEVISI_DI_INDONESIA.pdf
Twitter データの特徴分析と人間の行動モデル,南川雅人， 中島圭佑， 塩田茂雄,2019,NA,http://www.qos.tu.chiba-u.jp/research_result/paper/NS2018-290.pdf
The Relationship between Personality and the Behavior of Using Twitter of Korean Users,HJ Ahn,2016,NA,https://pdfs.semanticscholar.org/1318/bcd4c81593a1561f52926781347a151aad5a.pdf
S u rvei llatnscﬁffmiﬁggelmﬁe I”,"R Cheng, M Dredze, D Broniatovvski",2014,NA,https://www.researchgate.net/profile/Agung-Triayudi/publication/347790681_Analisa_Interaksi_Pengguna_Media_Sosial_Perusahaan_Sekuritas_di_Indonesia_Saat_Covid-19_menggunakan_Social_Network_Analysis_Studi_Kasus_Indopremier_dan_Bursa_Efek_Indonesia/links/60136c2792851c2d4dfede7b/Analisa-Interaksi-Pengguna-Media-Sosial-Perusahaan-Sekuritas-di-Indonesia-Saat-Covid-19-menggunakan-Social-Network-Analysis-Studi-Kasus-Indopremier-dan-Bursa-Efek-Indonesia.pdf
Analisis sosial media pemerintah daerah di indonesia berdasarkan respons warganet,"MA Furqon, D Hermansyah, S Sari, A Sukma…",2018,29,https://www.researchgate.net/profile/Nur-Rakhmawati/publication/327644440_Analisis_Jenis_Posting_Media_Sosial_Pemerintah_Daerah_di_Indonesia_Berdasarkan_Likes_dan_Analisis_Sentimental_Masyarakat/links/5b9b277d45851574f7c6c56a/Analisis-Jenis-Posting-Media-Sosial-Pemerintah-Daerah-di-Indonesia-Berdasarkan-Likes-dan-Analisis-Sentimental-Masyarakat.pdf
Collecting and analyzing data from e-government facebook pages,"I Grujic, S Bogdanovic-Dinic…",2014,34,https://proceedings.ictinnovations.org/attachment/paper/294/collecting-and-analyzing-data-from-e-government-facebook-pages.pdf
Health Recommender System in Social Networks: A Case of Facebook.,"S Forouzandeh, AR Aghdam",2019,17,http://www.webology.org/data-cms/articles/20200515025604pma178.pdf
Facebook As The Ultimate Government Surveillance Tool?,K Leetaru,2018,4,https://blog.fdik.org/2018-07/Facebook.pdf
Discovery of Classification Rules in Prediction of Applications Usage in Social Network Data (Facebook Application Data) Using Data Mining Algorithms,"RG Ramani, P Nancy",2014,2,https://www.academia.edu/download/37392342/IJHMI2014004.pdf
How K-12 school districts communicated during the COVID-19 pandemic: A study using Facebook data,"JM Rosenberg, H Nguyen",2021,5,https://joshuamrosenberg.com/post-prints/LAK21-Rosenberg-Nguyen-Districts-Facebook-published.pdf
Data Mining for Facebook Cliques,"R Lange, T Dvornik, W Hamilton, B Hess",NA,1,http://www.amphro.com/560_Mine_Cliques_Final.pdf
Facebook: Threats to privacy,"H Jones, JH Soltren",2005,393,https://groups.csail.mit.edu/mac/classes/6.805/student-papers/fall05-papers/facebook.pdf
Facebook addiction among Malaysian students,"H Jafarkarimi, ATH Sim, R Saadatdoost…",2016,127,http://www.ijiet.org/vol6/733-JM014.pdf
Metadata based Classification Techniques for Knowledge Discovery from Facebook Multimedia Database,"P Bhat, P Malaganve",2021,21,https://www.mecs-press.org/ijisa/ijisa-v13-n4/IJISA-V13-N4-4.pdf
Prediction of fake profiles on Facebook using supervised machine learning techniques-a theoretical model,"SY Wani, MM Kirmani, SI Ansarulla",2016,NA,https://www.researchgate.net/profile/Suheel-Yousuf-Wani/publication/307598244_Prediction_of_Fake_Profiles_on_Facebook_using_Supervised_Machine_Learning_Techniques-A_Theoretical_Model/links/57cbe64208ae3ac722b22cbc/Prediction-of-Fake-Profiles-on-Facebook-using-Supervised-Machine-Learning-Techniques-A-Theoretical-Model.pdf
Faces of Facebook,"A Acquisti, R Gross, F Stutzman",2011,3,https://media.blackhat.com/bh-us-11/Acquisti/BH_US_11_Acquisti_Faces_of_Facebook_Slides.pdf
A proposed model for detecting Facebook news' credibility,"AM Idrees, FK Alsheref…",2019,11,https://pdfs.semanticscholar.org/6a09/cc8387225c34148f5d80ca31e4cb6efa3f82.pdf
Ghostbusting Facebook: Detecting and Characterizing Phantom Profiles in Online Social Gaming Applications.,"A Nazir, S Raza, CN Chuah, BC Schipper, CA Davis",2010,54,https://www.usenix.org/event/wosn10/tech/full_papers/Nazir.pdf
"Faces of Facebook: Or, How The Largest Real ID Database In The World Came To Be","A Acquisti, R Gross, F Stutzman",2011,7,https://www.ijmh.org/wp-content/uploads/papers/v4i5/E0524014520.pdf
"Application of naïve bayes algorithm in sentiment analysis of Filipino, English and Taglish Facebook comments",RJ Bilog,2020,5,https://core.ac.uk/download/pdf/293653952.pdf
Woopee Inn–A Data-mining Facebook Game,"K Lanciani, NT Tran, SV Washington",2010,22,https://www.academia.edu/download/36147954/paper_to_be_submitted_DE2014.pdf
Is It A Relational Marketing Strategy? Cluster Analysis@ Universitasmercubuanajakarta Facebook Post and Comment,"A Nugroho, TN Khayati, Y Harwani…",2015,2,https://www.researchgate.net/profile/Tajebe-Tsega-2/publication/341397589_COVID-19_Outbreak_Data_Analysis_and_Prediction_Modeling_Using_Data_Mining_Technique/links/5ebe26d0299bf1c09abc2daf/COVID-19-Outbreak-Data-Analysis-and-Prediction-Modeling-Using-Data-Mining-Technique.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail
Enhancing digital literacy by multi-modal data mining of the digital lifespan,"J Collomosse, S James, A Durrant…",2014,8,https://core.ac.uk/download/pdf/199242102.pdf
Analyzing the Virus Spread over Facebook Social Network using Descriptive Data Mining Techniques,"V TOMOSKA, O Asilkan, K RISTOSKA",2013,8,https://core.ac.uk/download/pdf/152488372.pdf
"First record of Phyllorhiza punctata von Lendenfeld, 1884 (Cnidaria: Scyphozoa: Rhizostomeae) in Libya through social media data mining","J Rizgalla, F Crocetta",2020,12,https://www.reabic.net/journals/bir/2020/3/BIR_2020_Rizgalla_Crocetta.pdf
Word of Mouth Analysis on Facebook in Banking,L Šperková,2014,43,https://is.muni.cz/publication/1319500/CELA_KNIHA_Pavelka_The_Advertising_Text_as_a_Tool_for_Building_a_Social_and_Cultural_Identity_MARKETING_identity_explosion-of-innovations_conference-proceedings.pdf#page=237
"On Facebook, scholars link up with data",S Rosenbloom,2007,6,http://www.csun.edu/pubrels/clips/Dec07/12-18-07E.pdf
"If Google and Facebook rely on opaque algorithms, what does that mean for democracy?",J Arvanitakis,2017,1,https://www.researchgate.net/profile/James-Arvanitakis/publication/319163734_If_Google_and_Facebook_rely_on_opaque_algorithms_what_does_that_mean_for_democracy/links/59964af70f7e9b91cb096250/If-Google-and-Facebook-rely-on-opaque-algorithms-what-does-that-mean-for-democracy.pdf
Business intelligence from Facebook fan pages: A case study of luxury hotels,"M Chen, D Lee, CI Ho",2018,6,https://core.ac.uk/download/pdf/216960099.pdf#page=75
Interactions on government Facebook pages: an empirical analysis,SL Alam,2016,40,https://core.ac.uk/download/pdf/301370264.pdf
Privacy-Integrated Graph Clustering Through Differential Privacy.,"Y Mülle, C Clifton, K Böhm",2015,298,https://www.academia.edu/download/77577505/EDBTICDT-WS2015-complete.pdf#page=252
Marketing opportunities with social networks,"V Bolotaeva, T Cata",2010,NA,https://ibimapublishing.com/articles/JISNVC/2016/409860/409860.pdf
A Particle Swarm Optimization Based Approach for Finding Similar Users on Facebook.,"PS Kabara, V Kaushal, A Divekar, M Kamdar…",2016,2,http://www.jcomputers.us/vol11/jcp1101-03.pdf
A Digital Forensics Framework for Facebook Activity Logs,Y Bassil,NA,8,http://www.lacsc.org/papers/Paper41.pdf
Ekstraksi Fitur Menggunakan Model Word2Vec Untuk Analisis Sentimen Pada Komentar Facebook,"M Rusli, MR Faisal, I Budiman",2019,1,https://www.researchgate.net/profile/Mohammad-Reza-Faisal/publication/343057288_Ekstraksi_Fitur_Menggunakan_Model_Word2vec_Untuk_Analisis_Sentimen_Pada_Komentar_Facebook/links/5f144a3ca6fdcc3ed7154d78/Ekstraksi-Fitur-Menggunakan-Model-Word2vec-Untuk-Analisis-Sentimen-Pada-Komentar-Facebook.pdf
Online Consumer Behaviour in Social Media Post Types: A Data Mining Approach,"D Gkikas, T Theodoridis…",2020,4,http://proceedings.emac-online.org/pdfs/A2020-63455.pdf
"… from juvenile to adult in Gnathophyllum elegans (Risso, 1816)(Decapoda: Palaemonidae), traced through citizen science and social media data mining","B Manunza, M Colombo, F Crocetta",2020,4,https://www.researchgate.net/profile/Fabio-Crocetta/publication/346031756_Ontogeny_of_an_arlequin_morphological_and_colour_pattern_changes_from_juvenile_to_adult_in_Gnathophyllum_elegans_Risso_1816_Decapoda_Palaemonidae_traced_through_citizen_science_and_social_media_data_m/links/5fb763a7a6fdcc6cc64f1b5f/Ontogeny-of-an-arlequin-morphological-and-colour-pattern-changes-from-juvenile-to-adult-in-Gnathophyllum-elegans-Risso-1816-Decapoda-Palaemonidae-traced-through-citizen-science-and-social-media-data.pdf
Predict User Social Capital by Mining Facebook Usage,"L Chen, R Davidson",NA,6,http://pfigshare-u-files.s3.amazonaws.com/2110202/poster.pdf
Electricity requirement prediction using time series and Facebook's PROPHET,RJ Chadalavada…,2020,26,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2020/Issue-47/IJST-2020-1847.pdf
Emotional aspects of Facebook textual posts a framework for marketing research,"M Kačániová, Z Bačíková",2016,8,https://www.academia.edu/download/51776137/16_Kacaniova___Bacikova.pdf
Data mining: How companies now know everything about you,J Stein,2011,NA,http://dunraegardens.emsb.qc.ca/en/school%20pages/2017-2018/dc%20for%20parents%20elem%202017-18.pdf
How your data are being deeply mined,A Marwick,2014,64,http://fws.commacafe.org/resources/marwick_nyrb_data_mined.pdf
Data mining: why the EU's proposed copyright measures get it wrong,"MKT Margoni, M Kretschmer",2018,2,https://www.researchgate.net/profile/Thomas-Margoni-2/publication/325343381_Data_mining_why_the_EU's_proposed_copyright_measures_get_it_wrong/links/5b06c1054585157f8709f568/Data-mining-why-the-EUs-proposed-copyright-measures-get-it-wrong.pdf
Predicting User Mood by Classifying Music Genres from Facebook Shares and Likes.,"S Behrani, S Abbasi, AN Bhutto",2017,2,https://www.researchgate.net/profile/Sanober-Behrani-2/publication/337423462_Predicting_User_Mood_by_Classifying_Music_Genres_from_Facebook_Shares_and_Likes/links/5f95bbc5a6fdccfd7b7f76b4/Predicting-User-Mood-by-Classifying-Music-Genres-from-Facebook-Shares-and-Likes.pdf
Big Data Analytics In Information Technology,M Ganeshan,2021,4,https://www.researchgate.net/profile/M-K-Ganeshan/publication/351064652_Big_Data_Analytics_In_Information_Technology/links/60825e30907dcf667bb9aecf/Big-Data-Analytics-In-Information-Technology.pdf
Comment regeneration and sentiment analysis using pattern matching for Facebook,K Singh,2016,20,https://ijssst.info/Vol-16/No-6/paper12.pdf
Data mining: Why the EU's proposed copyright measures get it wrong,M Kretschmer,2018,36,https://eprints.gla.ac.uk/163778/1/163778.pdf
A survey paper on data mining with big data,"R Pitre, V Kolekar",2014,30,https://www.researchgate.net/profile/Shih-Ming-Pi/publication/272910801_The_Effectiveness_of_Facebook_Groups_for_e-Learning/links/5b0659aba6fdcc8c2522ae23/The-Effectiveness-of-Facebook-Groups-for-e-Learning.pdf
The effectiveness of Facebook groups for e-learning,"CH Chou, SM Pi",2015,167,http://www.savie.qc.ca/BaseConnaissancesCommunication/upload/pdf/social_ties_social_networks_and_the_facebook_experience_Index6544.pdf
"An Analysis of Data Mining, Web Image Mining and their Applications","P Bhateja, P Sehrawat…",2013,7,http://www.ripublication.com/irph/ijict_spl/17_ijictv3n6spl.pdf
FACEBOOK: PROVIDING A SERVICE TO MEMBERS OR A PLATFORM TO ADVERTISERS?,"S Lilley, FS Grodzinsky, A Gumbus",2011,23,https://www.researchgate.net/profile/Simon-Rogerson/publication/296786273_ETHICOMP_2011_Conference_Proceedings_The_Social_Impact_of_Social_Computing/links/56da9c8908aebe4638bbe3e0/ETHICOMP-2011-Conference-Proceedings-The-Social-Impact-of-Social-Computing.pdf#page=276
Comparing Social Media Sites: A Facebook Case Study about Employer Branding,SW der Wirtschaftswissenschaftlichen,NA,3,https://www.iwi.uni-hannover.de/fileadmin/iwi/Abschlussarbeiten/sBA_Janssen_K..pdf
Implementasi Data Mining untuk Menentukan Kombinasi Media Promosi Barang Berdasarkan Perilaku Pembelian Pelanggan Menggunakan Algoritma Apriori,D Fitriati,2016,19,https://core.ac.uk/download/pdf/235044297.pdf
Predictive analytics in data mining with big data: A literature survey,"M Vignesh, A Mohanapriya",2016,4,https://www.academia.edu/download/50896428/2EASNov-4231.pdf
Cambridge Analytica and our lives inside the surveillance machine,A Chen,2018,18,https://www.researchgate.net/profile/Georgios-Christou-3/publication/281773499_Proceedings_of_the_CHI_2013_Workshop_on_Designing_and_Evaluating_Sociability_in_Online_Video_Games/links/55f7c00408aec948c4734ca0/Proceedings-of-the-CHI-2013-Workshop-on-Designing-and-Evaluating-Sociability-in-Online-Video-Games.pdf#page=44
MOBILE SOCIAL NETWORKING FOR CRITICAL CITIZENSHIP: USING FACEBOOK MOBILE TO TEACH COMMUNITY ENGAGEMENT AT A SOUTH AFRICAN …,"P Rambe, N Mpiti",2016,NA,https://www.ripublication.com/ijaer17/ijaerv12n11_38.pdf
A survey on clustering high dimensional data techniques,"M Pavithra, RMS Parvathi",2017,NA,http://complexityexplorer.s3.amazonaws.com/Computation+in+CS/SFI+1.4b.pdf
Mining and analyzing online social networks,E Ferrara,2012,2,http://www.cl.cam.ac.uk/research/srg/netos/eurosys11dw/presentations/05_M1B_Emilio.pdf
Privacy risks for mining online social networks,"A Acquisti, R Gross",2007,10,http://www.ephemerajournal.org/sites/default/files/pdfs/issue/15-4ephemera-nov15.pdf#page=170
From mineral mining to data mining: Understanding the global commodity chain of internet communications,C Land,2015,74,https://joytothehome.com/wp-content/uploads/2015/11/Three-and-a-half-degrees-of-separation-_-Blog-_-Research-at-Facebook.pdf
Three and a half degrees of separation,"S Edunov, C Diuk, IO Filiz, S Bhagat…",2016,2,https://www.academia.edu/download/51069421/02_Paper_31081602_IJCSIS_Camera_Ready_pp._11-23.pdf
Big Data Analysis–Hadoop Performance Analysis,"VV Rao, VS Vadapalli",2016,2,https://www.academia.edu/download/59018886/Do_big_data_and_data_mining_influence_ou20190424-26720-jhvl0x.pdf
Do big data and data mining influence our identities? Interview with Jacob Johanssen,"J Johanssen, L Poenaru",2019,1,https://www.researchgate.net/profile/Hossein-Ghayoumi-Zadeh/publication/348975493_posts_using_an_ensemble_regression_model_Predicting_the_number_of_comments_on_Facebook_50/links/60199a3b299bf1cc269cb5e4/posts-using-an-ensemble-regression-model-Predicting-the-number-of-comments-on-Facebook-50.pdf
Predicting the number of comments on Facebook,"OR Seryasata, I Korb, HG Zadehc, A shams Taleghanid",NA,3,http://www.ijmse.org/Volume2/Issue8/paper6.pdf
